"model","mr_level_pct","statistic","true_value","n_seeds","mean_estimate","sd_estimate","mc_se","mean_bias","within_band","rhem_scale"
"REM",0,"difference_active",0.15,28,0.148655201383161,0.0317937387505728,0.00600845185592664,-0.00134479861683851,TRUE,NA
"REM",0,"inertia",0.02,28,0.0171140593649227,0.00676515953527918,0.00127849497928757,-0.00288594063507725,TRUE,NA
"REM",0,"otp",0.03,28,0.0307378678369431,0.00153805398012943,0.000290664881029682,0.000737867836943053,TRUE,NA
"REM",0,"reciprocity",0.1,28,0.101379265042127,0.00875627852311073,0.00165478109875478,0.00137926504212703,TRUE,NA
"REM",0,"same_group",0.4,28,0.392714982080836,0.039876018413493,0.00753585914268106,-0.00728501791916436,TRUE,NA
"REM",2,"difference_active",0.15,28,0.146276548307577,0.0308006274609888,0.00582077146332308,-0.00372345169242252,TRUE,NA
"REM",2,"inertia",0.02,28,0.0185816110072334,0.00721203029780814,0.00136294561541882,-0.00141838899276659,TRUE,NA
"REM",2,"otp",0.03,28,0.0301512765818156,0.00142327131871527,0.000268972996963682,0.000151276581815647,TRUE,NA
"REM",2,"reciprocity",0.1,28,0.0987948740379582,0.00972176455834811,0.00183724080900791,-0.00120512596204182,TRUE,NA
"REM",2,"same_group",0.4,28,0.379114288835238,0.039834522094651,0.00752801707553958,-0.020885711164762,TRUE,NA
"REM",8,"difference_active",0.15,28,0.134730528223468,0.0277163387259624,0.0052378956801518,-0.0152694717765315,TRUE,NA
"REM",8,"inertia",0.02,28,0.0211846011318851,0.00835158849591605,0.00157830187232442,0.00118460113188509,TRUE,NA
"REM",8,"otp",0.03,28,0.02808789183919,0.00147258167976631,0.000278291779277957,-0.00191210816081003,TRUE,NA
"REM",8,"reciprocity",0.1,28,0.094196600657099,0.0104294742969808,0.00197098537821081,-0.005803399342901,TRUE,NA
"REM",8,"same_group",0.4,28,0.350323980888587,0.0391126524068721,0.00739159652747824,-0.0496760191114128,TRUE,NA
"REM",16,"difference_active",0.15,28,0.131828817464313,0.0288633702727487,0.00545466426720483,-0.0181711825356869,TRUE,NA
"REM",16,"inertia",0.02,28,0.0267980854758094,0.0116287938973186,0.00219763547856646,0.00679808547580939,TRUE,NA
"REM",16,"otp",0.03,28,0.0260443377820321,0.00140759389015525,0.000266010241451768,-0.00395566221796795,TRUE,NA
"REM",16,"reciprocity",0.1,28,0.0835767834979591,0.0106517956695318,0.00201300016841829,-0.0164232165020409,TRUE,NA
"REM",16,"same_group",0.4,28,0.313066808987832,0.0399077117712737,0.00754184862431681,-0.0869331910121682,FALSE,NA
"REM",24,"difference_active",0.15,28,0.121323303364767,0.0274769842274016,0.00519266193169635,-0.0286766966352328,TRUE,NA
"REM",24,"inertia",0.02,28,0.0297821919886855,0.0100243522726892,0.00189442451200291,0.00978219198868545,TRUE,NA
"REM",24,"otp",0.03,28,0.0241034673299413,0.00141198457812835,0.000266840003484719,-0.00589653267005869,TRUE,NA
