"mr_level_pct","statistic","n_seeds","mean_estimate","sd_estimate","mc_se","true_value","mean_bias","band","within_band","model","bias_ratio","on_rule_grid","rhem_scale"
0,"difference_active",28,0.148655201383161,0.0317937387505728,0.00600845185592664,0.15,-0.00134479861683851,0.0635874775011455,TRUE,"REM",0.0211487964248036,TRUE,NA
0,"inertia",28,0.0171140593649227,0.00676515953527918,0.00127849497928757,0.02,-0.00288594063507725,0.0135303190705584,TRUE,"REM",0.213294351746441,TRUE,NA
0,"otp",28,0.0307378678369431,0.00153805398012943,0.000290664881029682,0.03,0.000737867836943053,0.00307610796025886,TRUE,"REM",0.239870591824404,TRUE,NA
0,"reciprocity",28,0.101379265042127,0.00875627852311073,0.00165478109875478,0.1,0.00137926504212703,0.0175125570462215,TRUE,"REM",0.0787586323622924,TRUE,NA
0,"same_group",28,0.392714982080836,0.039876018413493,0.00753585914268106,0.4,-0.00728501791916436,0.079752036826986,TRUE,"REM",0.0913458540873191,TRUE,NA
2,"difference_active",28,0.146276548307577,0.0308006274609888,0.00582077146332308,0.15,-0.00372345169242252,0.0635874775011455,TRUE,"REM",0.0585563673658142,TRUE,NA
2,"inertia",28,0.0185816110072334,0.00721203029780814,0.00136294561541882,0.02,-0.00141838899276659,0.0135303190705584,TRUE,"REM",0.104830417181585,TRUE,NA
2,"otp",28,0.0301512765818156,0.00142327131871527,0.000268972996963682,0.03,0.000151276581815647,0.00307610796025886,TRUE,"REM",0.0491779169554622,TRUE,NA
2,"reciprocity",28,0.0987948740379582,0.00972176455834811,0.00183724080900791,0.1,-0.00120512596204182,0.0175125570462215,TRUE,"REM",0.0688149628213113,TRUE,NA
2,"same_group",28,0.379114288835238,0.039834522094651,0.00752801707553958,0.4,-0.020885711164762,0.079752036826986,TRUE,"REM",0.261883106635526,TRUE,NA
8,"difference_active",28,0.134730528223468,0.0277163387259624,0.0052378956801518,0.15,-0.0152694717765315,0.0635874775011455,TRUE,"REM",0.240133315183897,TRUE,NA
8,"inertia",28,0.0211846011318851,0.00835158849591605,0.00157830187232442,0.02,0.00118460113188509,0.0135303190705584,TRUE,"REM",0.0875516036028118,TRUE,NA
8,"otp",28,0.02808789183919,0.00147258167976631,0.000278291779277957,0.03,-0.00191210816081003,0.00307610796025886,TRUE,"REM",0.621599822084633,TRUE,NA
8,"reciprocity",28,0.094196600657099,0.0104294742969808,0.00197098537821081,0.1,-0.005803399342901,0.0175125570462215,TRUE,"REM",0.331385035753711,TRUE,NA
8,"same_group",28,0.350323980888587,0.0391126524068721,0.00739159652747824,0.4,-0.0496760191114128,0.079752036826986,TRUE,"REM",0.622880882894314,TRUE,NA
12,"difference_active",26,0.130895568525894,0.0281936458741493,0.00552922886429277,0.15,-0.0191044314741055,0.0635874775011455,TRUE,"REM",0.300443298348505,FALSE,NA
12,"inertia",26,0.02296647103184,0.00801545147474581,0.00157195936461481,0.02,0.00296647103184,0.0135303190705584,TRUE,"REM",0.219246199322451,FALSE,NA
12,"otp",26,0.0270701576221231,0.00147888087145707,0.000290032400839949,0.03,-0.00292984237787686,0.00307610796025886,TRUE,"REM",0.952451089405298,FALSE,NA
12,"reciprocity",26,0.089778147139956,0.00931220233333707,0.00182627313123885,0.1,-0.010221852860044,0.0175125570462215,TRUE,"REM",0.583687055697528,FALSE,NA
12,"same_group",26,0.336313005122825,0.0312123126151566,0.00612123811880931,0.4,-0.0636869948771749,0.079752036826986,TRUE,"REM",0.798562612455121,FALSE,NA
16,"difference_active",28,0.131828817464313,0.0288633702727487,0.00545466426720483,0.15,-0.0181711825356869,0.0635874775011455,TRUE,"REM",0.285766683154864,TRUE,NA
16,"inertia",28,0.0267980854758094,0.0116287938973186,0.00219763547856646,0.02,0.00679808547580939,0.0135303190705584,TRUE,"REM",0.502433493279687,TRUE,NA
16,"otp",28,0.0260443377820321,0.00140759389015525,0.000266010241451768,0.03,-0.00395566221796795,0.00307610796025886,FALSE,"REM",1.28593088053875,TRUE,NA
16,"reciprocity",28,0.0835767834979591,0.0106517956695318,0.00201300016841829,0.1,-0.0164232165020409,0.0175125570462215,TRUE,"REM",0.937796602671705,TRUE,NA
16,"same_group",28,0.313066808987832,0.0399077117712737,0.00754184862431681,0.4,-0.0869331910121682,0.079752036826986,FALSE,"REM",1.0900435207788,TRUE,NA
24,"difference_active",28,0.121323303364767,0.0274769842274016,0.00519266193169635,0.15,-0.0286766966352328,0.0635874775011455,TRUE,"REM",0.450980252121436,TRUE,NA
24,"inertia",28,0.0297821919886855,0.0100243522726892,0.00189442451200291,0.02,0.00978219198868545,0.0135303190705584,TRUE,"REM",0.722983097270135,TRUE,NA
24,"otp",28,0.0241034673299413,0.00141198457812835,0.000266840003484719,0.03,-0.00589653267005869,0.00307610796025886,FALSE,"REM",1.9168809242841,TRUE,NA
24,"reciprocity",28,0.0784904756797768,0.00976752196763522,0.00184588814655165,0.1,-0.0215095243202232,0.0175125570462215,FALSE,"REM",1.22823436140436,TRUE,NA
24,"same_group",28,0.284993025382998,0.0334977815425894,0.00633048567386151,0.4,-0.115006974617002,0.079752036826986,FALSE,"REM",1.4420568952552,TRUE,NA
0,"difference_active",28,0.155309649580107,0.0422771099056482,0.00798962278292075,0.15,0.00530964958010674,0.0635874775011455,TRUE,"RHEM",0.0835014972879068,TRUE,"raw"
0,"inertia",28,0.0338981772149249,0.0112021542058604,0.00211700815549307,0.02,0.0138981772149249,0.0135303190705584,FALSE,"RHEM",1.02718769176457,TRUE,"raw"
0,"otp",28,0.00104508871192269,0.000486503339172251,9.19404891037346e-05,0.03,-0.0289549112880773,0.00307610796025886,FALSE,"RHEM",9.4128397514503,TRUE,"raw"
0,"reciprocity",28,0.0952976210604959,0.0167539208179852,0.00316619342640405,0.1,-0.00470237893950409,0.0175125570462215,TRUE,"RHEM",0.268514696459972,TRUE,"raw"
0,"same_group",28,0.423293147606563,0.0664146658914437,0.0125511920968717,0.4,0.0232931476065634,0.079752036826986,TRUE,"RHEM",0.29206962647356,TRUE,"raw"
2,"difference_active",28,0.154756000311898,0.0431494251115577,0.00815447486147051,0.15,0.00475600031189766,0.0635874775011455,TRUE,"RHEM",0.0747946057745721,TRUE,"raw"
2,"inertia",28,0.0345423569630142,0.0109689996062743,0.00207294607781194,0.02,0.0145423569630142,0.0135303190705584,FALSE,"RHEM",1.07479778467738,TRUE,"raw"
2,"otp",28,0.000973260188075893,0.00047562543726659,8.9884758873125e-05,0.03,-0.0290267398119241,0.00307610796025886,FALSE,"RHEM",9.43619020753792,TRUE,"raw"
2,"reciprocity",28,0.0945547546393042,0.016359924650984,0.00309173514958991,0.1,-0.00544524536069582,0.0175125570462215,TRUE,"RHEM",0.310933768628077,TRUE,"raw"
2,"same_group",28,0.422099141513844,0.0661527815948122,0.0125017006167888,0.4,0.0220991415138444,0.079752036826986,TRUE,"RHEM",0.277098145615845,TRUE,"raw"
8,"difference_active",28,0.155120334485509,0.0433155993541776,0.00818587884149028,0.15,0.00512033448550858,0.0635874775011455,TRUE,"RHEM",0.080524258654801,TRUE,"raw"
8,"inertia",28,0.0356444301712491,0.0106866051395654,0.00201957853991677,0.02,0.0156444301712491,0.0135303190705584,FALSE,"RHEM",1.15624990731305,TRUE,"raw"
8,"otp",28,0.000769230078317753,0.000438459431464846,8.2861043974768e-05,0.03,-0.0292307699216822,0.00307610796025886,FALSE,"RHEM",9.50251756418277,TRUE,"raw"
8,"reciprocity",28,0.0932754788472255,0.016450098256101,0.0031087763591586,0.1,-0.00672452115277447,0.0175125570462215,TRUE,"RHEM",0.383982826438551,TRUE,"raw"
8,"same_group",28,0.42818798777542,0.0669941978185274,0.0126607133365778,0.4,0.0281879877754196,0.079752036826986,TRUE,"RHEM",0.353445365120525,TRUE,"raw"
12,"difference_active",26,0.148453480041132,0.0399046392841619,0.00782594363049318,0.15,-0.0015465199588682,0.0635874775011455,TRUE,"RHEM",0.0243211402565913,FALSE,"raw"
12,"inertia",26,0.0352391308566827,0.0110326993232768,0.0021636903514227,0.02,0.0152391308566827,0.0135303190705584,FALSE,"RHEM",1.12629501028122,FALSE,"raw"
12,"otp",26,0.000697579925191029,0.00042310422709376,8.29775657782568e-05,0.03,-0.029302420074809,0.00307610796025886,FALSE,"RHEM",9.52581003442516,FALSE,"raw"
12,"reciprocity",26,0.0924582014198775,0.0150244777615493,0.00294654251106464,0.1,-0.00754179858012251,0.0175125570462215,TRUE,"RHEM",0.430650907244282,FALSE,"raw"
12,"same_group",26,0.43340393407305,0.0656263278212831,0.0128703817756215,0.4,0.0334039340730496,0.079752036826986,TRUE,"RHEM",0.418847410073251,FALSE,"raw"
16,"difference_active",28,0.161003925569632,0.0415677432179737,0.00785556507978214,0.15,0.0110039255696316,0.0635874775011455,TRUE,"RHEM",0.173051770601113,TRUE,"raw"
16,"inertia",28,0.036389213968694,0.0130184045957143,0.00246024721622002,0.02,0.016389213968694,0.0135303190705584,FALSE,"RHEM",1.21129545306559,TRUE,"raw"
16,"otp",28,0.000599303193459094,0.000432157410565649,8.16700739707389e-05,0.03,-0.0294006968065409,0.00307610796025886,FALSE,"RHEM",9.5577584357822,TRUE,"raw"
16,"reciprocity",28,0.0893625408156997,0.0151699489252085,0.00286685087554667,0.1,-0.0106374591843004,0.0175125570462215,TRUE,"RHEM",0.607418959791227,TRUE,"raw"
16,"same_group",28,0.428231741297422,0.0684313589609537,0.0129323112634911,0.4,0.0282317412974219,0.079752036826986,TRUE,"RHEM",0.353993984613432,TRUE,"raw"
24,"difference_active",28,0.15630534383168,0.0407913989394182,0.00770884980172318,0.15,0.00630534383167961,0.0635874775011455,TRUE,"RHEM",0.099160150385994,TRUE,"raw"
24,"inertia",28,0.0383883197391528,0.010885494863146,0.00205716516469682,0.02,0.0183883197391528,0.0135303190705584,FALSE,"RHEM",1.35904553641794,TRUE,"raw"
24,"otp",28,0.000499942697634166,0.000411235014255051,7.77161127229261e-05,0.03,-0.0295000573023658,0.00307610796025886,FALSE,"RHEM",9.5900591538027,TRUE,"raw"
24,"reciprocity",28,0.0882942313659591,0.0132788118707352,0.00250945956545555,0.1,-0.0117057686340409,0.0175125570462215,TRUE,"RHEM",0.668421442005612,TRUE,"raw"
24,"same_group",28,0.434817156019757,0.0642898678090338,0.0121496430031372,0.4,0.0348171560197567,0.079752036826986,TRUE,"RHEM",0.436567608866079,TRUE,"raw"
