"statistic","seed","mr_level_pct","estimate","se","n_rows","eps_max","true_value","bias"
"baseline",20260423,0,-4.89593253068387,0.0578622216695903,2000,3.96537575397815e-07,-5,0.104067469316128
"difference_active",20260423,0,0.0791915474467266,0.0399823102173254,2000,3.96537575397815e-07,0.15,-0.0708084525532734
"inertia",20260423,0,0.0232740902520883,0.00706139652639848,2000,3.96537575397815e-07,0.02,0.00327409025208834
"otp",20260423,0,0.0293629549762608,0.00116419547413163,2000,3.96537575397815e-07,0.03,-0.000637045023739229
"reciprocity",20260423,0,0.0970222742770896,0.00681167705250489,2000,3.96537575397815e-07,0.1,-0.00297772572291036
"same_group",20260423,0,0.373242695303613,0.0526527531693927,2000,3.96537575397815e-07,0.4,-0.026757304696387
"baseline",20260423,2,-4.87104940800521,0.0572542669235469,2040,3.96537575397815e-07,-5,0.128950591994793
"difference_active",20260423,2,0.0791076716317508,0.0396141454275976,2040,3.96537575397815e-07,0.15,-0.0708923283682492
"inertia",20260423,2,0.0273596487766731,0.00696853082933499,2040,3.96537575397815e-07,0.02,0.00735964877667308
"otp",20260423,2,0.0283332132487475,0.00112855728378052,2040,3.96537575397815e-07,0.03,-0.00166678675125248
"reciprocity",20260423,2,0.092792299474703,0.00673500000544368,2040,3.96537575397815e-07,0.1,-0.00720770052529698
"same_group",20260423,2,0.366674250368683,0.0519361653192992,2040,3.96537575397815e-07,0.4,-0.0333257496313171
"baseline",20260423,8,-4.82338273985587,0.0553636713161531,2160,3.96537575397815e-07,-5,0.17661726014413
"difference_active",20260423,8,0.079573152460049,0.038195722482025,2160,3.96537575397815e-07,0.15,-0.0704268475399509
"inertia",20260423,8,0.0274231768202689,0.00682047217774629,2160,3.96537575397815e-07,0.02,0.00742317682026889
"otp",20260423,8,0.0274094344149736,0.00104257841593335,2160,3.96537575397815e-07,0.03,-0.00259056558502641
"reciprocity",20260423,8,0.0902809161508039,0.00653518638096534,2160,3.96537575397815e-07,0.1,-0.00971908384919609
"same_group",20260423,8,0.340026033821125,0.0499909405134749,2160,3.96537575397815e-07,0.4,-0.0599739661788747
"baseline",20260423,16,-4.69309815223251,0.0528509198076089,2320,3.96537575397815e-07,-5,0.306901847767487
"difference_active",20260423,16,0.0713363072489266,0.037023631072407,2320,3.96537575397815e-07,0.15,-0.0786636927510734
"inertia",20260423,16,0.0335543234598918,0.00561720497768434,2320,3.96537575397815e-07,0.02,0.0135543234598918
"otp",20260423,16,0.0245571664554445,0.000926878682725339,2320,3.96537575397815e-07,0.03,-0.00544283354455554
"reciprocity",20260423,16,0.0807979433101674,0.00537969282719685,2320,3.96537575397815e-07,0.1,-0.0192020566898326
"same_group",20260423,16,0.271019076691831,0.0471706166330436,2320,3.96537575397815e-07,0.4,-0.128980923308169
"baseline",20260423,24,-4.65142564770156,0.0513694776561669,2480,3.96537575397815e-07,-5,0.348574352298441
"difference_active",20260423,24,0.0517237776861122,0.0357517986151952,2480,3.96537575397815e-07,0.15,-0.0982762223138878
"inertia",20260423,24,0.0382183174302005,0.00617683346293341,2480,3.96537575397815e-07,0.02,0.0182183174302005
"otp",20260423,24,0.0227833013920831,0.000852158416444524,2480,3.96537575397815e-07,0.03,-0.00721669860791685
"reciprocity",20260423,24,0.0778424062654906,0.0059553419458787,2480,3.96537575397815e-07,0.1,-0.0221575937345094
"same_group",20260423,24,0.293276350196634,0.0463764112785359,2480,3.96537575397815e-07,0.4,-0.106723649803366
"baseline",20260424,0,-5.00881519234172,0.0585735653490971,2000,1.71600836154084e-06,-5,-0.00881519234171702
"difference_active",20260424,0,0.120378896758603,0.0218529510307786,2000,1.71600836154084e-06,0.15,-0.0296211032413967
"inertia",20260424,0,0.0247832517556131,0.0101787864328141,2000,1.71600836154084e-06,0.02,0.00478325175561308
"otp",20260424,0,0.0321226973410424,0.00142813731983528,2000,1.71600836154084e-06,0.03,0.00212269734104245
"reciprocity",20260424,0,0.0964365717400679,0.0094595406138304,2000,1.71600836154084e-06,0.1,-0.00356342825993211
"same_group",20260424,0,0.362820580106463,0.0476002895802881,2000,1.71600836154084e-06,0.4,-0.037179419893537
"baseline",20260424,2,-4.98922416078983,0.0579318623405176,2040,1.71600836154084e-06,-5,0.0107758392101713
"difference_active",20260424,2,0.120285139775928,0.0216518050607041,2040,1.71600836154084e-06,0.15,-0.0297148602240721
"inertia",20260424,2,0.028053592077248,0.00983374369129783,2040,1.71600836154084e-06,0.02,0.00805359207724802
"otp",20260424,2,0.0313592507623705,0.00138315395313772,2040,1.71600836154084e-06,0.03,0.00135925076237046
"reciprocity",20260424,2,0.0930892638629764,0.00912609771527965,2040,1.71600836154084e-06,0.1,-0.00691073613702363
"same_group",20260424,2,0.358245437057202,0.0470272066558953,2040,1.71600836154084e-06,0.4,-0.0417545629427981
"baseline",20260424,8,-4.91114279181805,0.0560362884946332,2160,1.71600836154084e-06,-5,0.0888572081819463
"difference_active",20260424,8,0.101891439454565,0.0211667428016684,2160,1.71600836154084e-06,0.15,-0.0481085605454354
"inertia",20260424,8,0.0272011747686745,0.00938897241393975,2160,1.71600836154084e-06,0.02,0.00720117476867455
"otp",20260424,8,0.029932903567297,0.00129457665455344,2160,1.71600836154084e-06,0.03,-6.70964327029941e-05
"reciprocity",20260424,8,0.0872278496874015,0.00875642168684242,2160,1.71600836154084e-06,0.1,-0.0127721503125985
"same_group",20260424,8,0.346381628998636,0.0457107365840044,2160,1.71600836154084e-06,0.4,-0.0536183710013644
"baseline",20260424,16,-4.83020080115824,0.0539523364499349,2320,1.71600836154084e-06,-5,0.169799198841758
"difference_active",20260424,16,0.104450533847087,0.0204698476337556,2320,1.71600836154084e-06,0.15,-0.0455494661529129
"inertia",20260424,16,0.024599923364206,0.00860084594143176,2320,1.71600836154084e-06,0.02,0.00459992336420598
"otp",20260424,16,0.0272705044783518,0.00115384532983983,2320,1.71600836154084e-06,0.03,-0.00272949552164817
"reciprocity",20260424,16,0.0799968164083635,0.00794815500960456,2320,1.71600836154084e-06,0.1,-0.0200031835916365
"same_group",20260424,16,0.323878119724411,0.0439856669156505,2320,1.71600836154084e-06,0.4,-0.0761218802755894
"baseline",20260424,24,-4.73649474393212,0.0513834359508738,2480,1.71600836154084e-06,-5,0.263505256067884
"difference_active",20260424,24,0.0967435224674521,0.0196843170094403,2480,1.71600836154084e-06,0.15,-0.0532564775325479
"inertia",20260424,24,0.0275228537369097,0.00887161629073592,2480,1.71600836154084e-06,0.02,0.0075228537369097
"otp",20260424,24,0.0250144805749919,0.00103579804706344,2480,1.71600836154084e-06,0.03,-0.00498551942500806
"reciprocity",20260424,24,0.0786408092057879,0.00832240914554653,2480,1.71600836154084e-06,0.1,-0.0213591907942121
"same_group",20260424,24,0.283907718764501,0.0422345594187857,2480,1.71600836154084e-06,0.4,-0.116092281235499
"baseline",20260425,0,-5.11550200176037,0.0530517357847848,2000,7.20720549907128e-10,-5,-0.115502001760373
"difference_active",20260425,0,0.133637692852635,0.0237102324639903,2000,7.20720549907128e-10,0.15,-0.0163623071473653
"inertia",20260425,0,0.0111786120171565,0.009457688470034,2000,7.20720549907128e-10,0.02,-0.00882138798284345
"otp",20260425,0,0.0339083397205265,0.00121276312247043,2000,7.20720549907128e-10,0.03,0.00390833972052654
"reciprocity",20260425,0,0.1058826169822,0.00941474554604074,2000,7.20720549907128e-10,0.1,0.00588261698220006
"same_group",20260425,0,0.428419308269064,0.0521381559823934,2000,7.20720549907128e-10,0.4,0.0284193082690642
"baseline",20260425,2,-5.08551226094456,0.0523664413080117,2040,7.20720549907128e-10,-5,-0.0855122609445624
"difference_active",20260425,2,0.135110365184578,0.0234383278978396,2040,7.20720549907128e-10,0.15,-0.0148896348154219
"inertia",20260425,2,0.0129906060473646,0.0093033614850967,2040,7.20720549907128e-10,0.02,-0.0070093939526354
"otp",20260425,2,0.0331578306417252,0.0011734053167766,2040,7.20720549907128e-10,0.03,0.00315783064172521
"reciprocity",20260425,2,0.103506179235333,0.00926682106615626,2040,7.20720549907128e-10,0.1,0.00350617923533297
"same_group",20260425,2,0.407575555082656,0.05140676668951,2040,7.20720549907128e-10,0.4,0.00757555508265639
"baseline",20260425,8,-4.98050594166985,0.0504645528954419,2160,7.20720549907128e-10,-5,0.0194940583301504
"difference_active",20260425,8,0.117989387001855,0.0228890251811909,2160,7.20720549907128e-10,0.15,-0.0320106129981453
"inertia",20260425,8,0.0286326700480096,0.00801540253471029,2160,7.20720549907128e-10,0.02,0.00863267004800962
"otp",20260425,8,0.0299750687988694,0.00107097224697617,2160,7.20720549907128e-10,0.03,-2.49312011305694e-05
"reciprocity",20260425,8,0.0870010349141747,0.00798850447133364,2160,7.20720549907128e-10,0.1,-0.0129989650858253
"same_group",20260425,8,0.377020383809832,0.0494976071539119,2160,7.20720549907128e-10,0.4,-0.0229796161901675
"baseline",20260425,16,-4.93144577706435,0.0487024169811661,2320,7.20720549907128e-10,-5,0.0685542229356466
"difference_active",20260425,16,0.132243589768139,0.021991379089245,2320,7.20720549907128e-10,0.15,-0.0177564102318614
"inertia",20260425,16,0.0176863749635626,0.00834406127742984,2320,7.20720549907128e-10,0.02,-0.00231362503643735
"otp",20260425,16,0.0284835726167969,0.000943538094265256,2320,7.20720549907128e-10,0.03,-0.00151642738320306
"reciprocity",20260425,16,0.099005476192449,0.00832544675054844,2320,7.20720549907128e-10,0.1,-0.000994523807551023
"same_group",20260425,16,0.311530731961079,0.0469226045661451,2320,7.20720549907128e-10,0.4,-0.0884692680389207
"baseline",20260425,24,-4.85754542759122,0.0471702458497919,2480,7.20720549907128e-10,-5,0.14245457240878
"difference_active",20260425,24,0.121713875730999,0.0212136733293132,2480,7.20720549907128e-10,0.15,-0.0282861242690011
"inertia",20260425,24,0.0234071007914452,0.00739791452336807,2480,7.20720549907128e-10,0.02,0.00340710079144516
"otp",20260425,24,0.0271788229481033,0.000876277364764171,2480,7.20720549907128e-10,0.03,-0.00282117705189672
"reciprocity",20260425,24,0.089511175586412,0.00735455126345453,2480,7.20720549907128e-10,0.1,-0.010488824413588
"same_group",20260425,24,0.266828959691394,0.0450510275678194,2480,7.20720549907128e-10,0.4,-0.133171040308606
"baseline",20260426,0,-5.01397320259839,0.0593386975516008,2000,2.10421120527826e-08,-5,-0.0139732025983941
"difference_active",20260426,0,0.141934628221182,0.0298785427327835,2000,2.10421120527826e-08,0.15,-0.00806537177881828
"inertia",20260426,0,0.0124747571994201,0.00854373465601788,2000,2.10421120527826e-08,0.02,-0.00752524280057986
"otp",20260426,0,0.0307064409430287,0.0011924687640234,2000,2.10421120527826e-08,0.03,0.000706440943028741
"reciprocity",20260426,0,0.107411464581984,0.00842458837559267,2000,2.10421120527826e-08,0.1,0.00741146458198373
"same_group",20260426,0,0.40422747694823,0.0510138216208754,2000,2.10421120527826e-08,0.4,0.00422747694822956
"baseline",20260426,2,-4.98966741594207,0.0586350595442556,2040,2.10421120527826e-08,-5,0.0103325840579274
"difference_active",20260426,2,0.142727612197878,0.0295364047153066,2040,2.10421120527826e-08,0.15,-0.00727238780212222
"inertia",20260426,2,0.0113533545893672,0.00838500870358516,2040,2.10421120527826e-08,0.02,-0.00864664541063282
"otp",20260426,2,0.0304407638165206,0.00115909031153636,2040,2.10421120527826e-08,0.03,0.00044076381652057
"reciprocity",20260426,2,0.107940099448365,0.008270087102292,2040,2.10421120527826e-08,0.1,0.00794009944836487
"same_group",20260426,2,0.380244521993011,0.0502473869731997,2040,2.10421120527826e-08,0.4,-0.0197554780069893
"baseline",20260426,8,-4.90553962483056,0.0566397112930494,2160,2.10421120527826e-08,-5,0.0944603751694419
"difference_active",20260426,8,0.125466729076593,0.0286867671057013,2160,2.10421120527826e-08,0.15,-0.0245332709234071
"inertia",20260426,8,0.0104552769105535,0.0080503876250167,2160,2.10421120527826e-08,0.02,-0.00954472308944646
"otp",20260426,8,0.027946410197757,0.0010604618228868,2160,2.10421120527826e-08,0.03,-0.00205358980224301
"reciprocity",20260426,8,0.108330723804411,0.00795780502853231,2160,2.10421120527826e-08,0.1,0.00833072380441126
"same_group",20260426,8,0.353300947274345,0.0482683120392958,2160,2.10421120527826e-08,0.4,-0.0466990527256547
"baseline",20260426,16,-4.79293774857778,0.0542065566175394,2320,2.10421120527826e-08,-5,0.207062251422225
"difference_active",20260426,16,0.11501697056803,0.0276647267085265,2320,2.10421120527826e-08,0.15,-0.0349830294319701
"inertia",20260426,16,0.0269322497072883,0.00735973801894409,2320,2.10421120527826e-08,0.02,0.00693224970728833
"otp",20260426,16,0.0253771887914949,0.000949082710487857,2320,2.10421120527826e-08,0.03,-0.00462281120850509
"reciprocity",20260426,16,0.09109552872969,0.00723295455463731,2320,2.10421120527826e-08,0.1,-0.00890447127030998
"same_group",20260426,16,0.2896602594591,0.0461750425576705,2320,2.10421120527826e-08,0.4,-0.1103397405409
"baseline",20260426,24,-4.74119759802075,0.0527124560448397,2480,2.10421120527826e-08,-5,0.258802401979247
"difference_active",20260426,24,0.122591616283402,0.0266067213444563,2480,2.10421120527826e-08,0.15,-0.0274083837165979
"inertia",20260426,24,0.0241323946077681,0.00686874085843887,2480,2.10421120527826e-08,0.02,0.00413239460776807
"otp",20260426,24,0.0237677092588983,0.000868937328721832,2480,2.10421120527826e-08,0.03,-0.00623229074110168
"reciprocity",20260426,24,0.0902792890138182,0.00676602184124175,2480,2.10421120527826e-08,0.1,-0.00972071098618182
"same_group",20260426,24,0.27956306390157,0.04406835715611,2480,2.10421120527826e-08,0.4,-0.12043693609843
"baseline",20260427,0,-5.0083982569891,0.0557093783122206,2000,4.99568386658211e-11,-5,-0.00839825698909902
"difference_active",20260427,0,0.138252668118505,0.0232389651531781,2000,4.99568386658211e-11,0.15,-0.0117473318814954
"inertia",20260427,0,0.0178455689942103,0.00934561164975144,2000,4.99568386658211e-11,0.02,-0.00215443100578973
"otp",20260427,0,0.0326744496230958,0.00132160527072164,2000,4.99568386658211e-11,0.03,0.00267444962309581
"reciprocity",20260427,0,0.101971739441129,0.00929926160288921,2000,4.99568386658211e-11,0.1,0.00197173944112915
