"seed","mr_level_pct","scale","statistic","effect","estimate","estimate_aligned","se","true_value"
20260423,0,"sqrt_network","absdiff.active","difference_active",0.0258089612679108,0.0258089612679108,0.0472825144235151,0.15
20260423,0,"raw","absdiff.active","difference_active",0.0435553961166492,0.0435553961166492,0.0480368643752472,0.15
20260423,0,"raw","s.r.sub.rep.1","inertia",0.0431432735203481,0.0431432735203481,0.0109951557516732,0.02
20260423,0,"sqrt_network","s.r.sub.rep.1","inertia",0.29456164054802,0.29456164054802,0.0375209765602527,0.02
20260423,0,"sqrt_network","otp","otp",0.0116139842795673,0.0116139842795673,0.0116526755726497,0.03
20260423,0,"raw","otp","otp",-0.000151344038490245,-0.000151344038490245,0.000320356623368826,0.03
20260423,0,"sqrt_network","reciprocation","reciprocity",0.431583194826037,0.431583194826037,0.0377680033152564,0.1
20260423,0,"raw","reciprocation","reciprocity",0.0804804797885396,0.0804804797885396,0.0113642472438087,0.1
20260423,0,"raw","catdiff.group","same_group",-0.481385514674868,0.481385514674868,0.0572522636250869,0.4
20260423,0,"sqrt_network","catdiff.group","same_group",-0.365890161961756,0.365890161961756,0.0584861367537407,0.4
20260423,2,"sqrt_network","absdiff.active","difference_active",0.0170747479460994,0.0170747479460994,0.0475946402515709,0.15
20260423,2,"raw","absdiff.active","difference_active",0.0354611630047837,0.0354611630047837,0.0483098334334142,0.15
20260423,2,"raw","s.r.sub.rep.1","inertia",0.0409121475475198,0.0409121475475198,0.010964400064503,0.02
20260423,2,"sqrt_network","s.r.sub.rep.1","inertia",0.294899255840309,0.294899255840309,0.0379234816304689,0.02
20260423,2,"sqrt_network","otp","otp",0.0146017452555799,0.0146017452555799,0.0115177684357101,0.03
20260423,2,"raw","otp","otp",-0.000104588907911916,-0.000104588907911916,0.000309147029863204,0.03
20260423,2,"sqrt_network","reciprocation","reciprocity",0.432766543604882,0.432766543604882,0.0380376795586873,0.1
20260423,2,"raw","reciprocation","reciprocity",0.0828247135334033,0.0828247135334033,0.0113461750196824,0.1
20260423,2,"raw","catdiff.group","same_group",-0.483340509374805,0.483340509374805,0.0575505184832853,0.4
