"seed","mr_level_pct","tag","eventnet_secs"
20260423,0,"s20260423_mr00",2.52
20260423,2,"s20260423_mr02",3.23
20260423,8,"s20260423_mr08",5.43
20260423,16,"s20260423_mr16",9.46
20260423,24,"s20260423_mr24",16.44
20260424,0,"s20260424_mr00",2.84
20260424,2,"s20260424_mr02",2.5
20260424,8,"s20260424_mr08",3.38
20260424,16,"s20260424_mr16",5.9
20260424,24,"s20260424_mr24",16.73
20260425,0,"s20260425_mr00",2.31
20260425,2,"s20260425_mr02",2.48
20260425,8,"s20260425_mr08",4.3
20260425,16,"s20260425_mr16",7.03
20260425,24,"s20260425_mr24",9.57
20260426,0,"s20260426_mr00",2.17
20260426,2,"s20260426_mr02",2.91
20260426,8,"s20260426_mr08",3.72
20260426,16,"s20260426_mr16",9.37
20260426,24,"s20260426_mr24",15.74
20260427,0,"s20260427_mr00",2.49
20260427,2,"s20260427_mr02",2.98
20260427,8,"s20260427_mr08",4.31
20260427,16,"s20260427_mr16",7.69
20260427,24,"s20260427_mr24",11.26
20260428,0,"s20260428_mr00",2.4
20260428,2,"s20260428_mr02",2.5
20260428,8,"s20260428_mr08",4.1
20260428,16,"s20260428_mr16",9.42
20260428,24,"s20260428_mr24",15.2
20260429,0,"s20260429_mr00",2.39
20260429,2,"s20260429_mr02",2.39
20260429,8,"s20260429_mr08",5.03
20260429,16,"s20260429_mr16",10.22
20260429,24,"s20260429_mr24",16.92
20260430,0,"s20260430_mr00",1.93
20260430,2,"s20260430_mr02",2.51
20260430,8,"s20260430_mr08",4.55
20260430,16,"s20260430_mr16",9.99
20260430,24,"s20260430_mr24",15.23
20260431,0,"s20260431_mr00",2.3
20260431,2,"s20260431_mr02",2.62
20260431,8,"s20260431_mr08",6.18
20260431,16,"s20260431_mr16",10.47
20260431,24,"s20260431_mr24",16.85
20260432,0,"s20260432_mr00",2.17
20260432,2,"s20260432_mr02",2.93
20260432,8,"s20260432_mr08",4.36
20260432,16,"s20260432_mr16",8.83
20260432,24,"s20260432_mr24",16.55
20260433,0,"s20260433_mr00",2.18
20260433,2,"s20260433_mr02",2.86
20260433,8,"s20260433_mr08",4.81
20260433,16,"s20260433_mr16",10.53
20260433,24,"s20260433_mr24",17.4
20260434,0,"s20260434_mr00",2.61
20260434,2,"s20260434_mr02",2.94
20260434,8,"s20260434_mr08",6.15
20260434,16,"s20260434_mr16",9.83
20260434,24,"s20260434_mr24",16.63
20260435,0,"s20260435_mr00",2.52
20260435,2,"s20260435_mr02",3.54
20260435,8,"s20260435_mr08",5.22
20260435,16,"s20260435_mr16",10.25
20260435,24,"s20260435_mr24",15.67
20260436,0,"s20260436_mr00",2.05
20260436,2,"s20260436_mr02",3.24
20260436,8,"s20260436_mr08",4.77
20260436,16,"s20260436_mr16",8.49
20260436,24,"s20260436_mr24",15.84
20260437,0,"s20260437_mr00",2.08
20260437,2,"s20260437_mr02",2.18
20260437,8,"s20260437_mr08",5.05
20260437,16,"s20260437_mr16",9.45
20260437,24,"s20260437_mr24",16.3
20260438,0,"s20260438_mr00",2.28
20260438,2,"s20260438_mr02",2.39
20260438,8,"s20260438_mr08",5.08
20260438,16,"s20260438_mr16",10.48
20260438,24,"s20260438_mr24",17.29
20260439,0,"s20260439_mr00",2.18
20260439,2,"s20260439_mr02",2.71
20260439,8,"s20260439_mr08",5.22
20260439,16,"s20260439_mr16",9.31
20260439,24,"s20260439_mr24",15.47
20260440,0,"s20260440_mr00",2.38
20260440,2,"s20260440_mr02",2.63
20260440,8,"s20260440_mr08",3.72
20260440,16,"s20260440_mr16",9.16
20260440,24,"s20260440_mr24",15.36
20260441,0,"s20260441_mr00",2.15
20260441,2,"s20260441_mr02",2.83
20260441,8,"s20260441_mr08",3.94
20260441,16,"s20260441_mr16",8.92
20260441,24,"s20260441_mr24",15.01
20260442,0,"s20260442_mr00",2.31
20260442,2,"s20260442_mr02",2.88
20260442,8,"s20260442_mr08",3.98
20260442,16,"s20260442_mr16",8.78
20260442,24,"s20260442_mr24",15.88
20260445,0,"s20260445_mr00",2.49
20260445,2,"s20260445_mr02",2.9
20260445,8,"s20260445_mr08",4.82
20260445,16,"s20260445_mr16",5.99
20260445,24,"s20260445_mr24",8.17
20260447,0,"s20260447_mr00",2.1
20260447,2,"s20260447_mr02",2.57
20260447,8,"s20260447_mr08",3.7
20260447,16,"s20260447_mr16",9.23
20260447,24,"s20260447_mr24",14.07
20260449,0,"s20260449_mr00",2.52
20260449,2,"s20260449_mr02",2.69
20260449,8,"s20260449_mr08",4.09
20260449,16,"s20260449_mr16",7.04
