IS_OBSERVED,SOURCE,TARGET,TIME,TYPE,WEIGHT,EVENT_INTERVAL_ID,EVENT,INTEGER_TIME,TIME_POINT,TIME_UNIT,EVENT_INTERVAL,s.r.sub.rep.1,reciprocation,absdiff.active,catdiff.group,otp
1,|13|,|20|,0.702448,email,1,1,47,702448,2,999999,2,0,0,0.78927882,1,0
0,|13|,|8|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.13960322,0,0
0,|13|,|14|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.92433353,1,0
0,|13|,|9|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.4766798,1,0
0,|13|,|15|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.94898183,1,0
0,|13|,|16|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.88340077,1,0
0,|13|,|17|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.74631925,0,0
0,|13|,|1|,0.702448,,0.0,,47,702448,2,999999,2,0,0,2.05156337,0,0
0,|13|,|18|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.14423604,1,0
0,|13|,|2|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.40036423,0,0
0,|13|,|19|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.50302024,1,0
0,|13|,|3|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.65671673,1,0
0,|13|,|4|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.58186501,1,0
0,|13|,|10|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.49815268,1,0
0,|13|,|5|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.02331639,1,0
0,|13|,|11|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.44007116,1,0
0,|13|,|6|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.41502675,0,0
0,|13|,|12|,0.702448,,0.0,,47,702448,2,999999,2,0,0,0.97926621,1,0
0,|13|,|7|,0.702448,,0.0,,47,702448,2,999999,2,0,0,1.01605883,1,0
1,|15|,|11|,1.003988,email,1,2,48,1003988,3,1301539,3,0,0,0.50891068,0,0
0,|15|,|7|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.067077,0,0
0,|15|,|13|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.94898183,1,0
0,|15|,|8|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.80937861,1,0
0,|15|,|14|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.0246483,0,0
0,|15|,|9|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.47230203,0,0
0,|15|,|16|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,1.8323826,0,0
0,|15|,|17|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.20266259,1,0
0,|15|,|1|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,1.10258154,1,0
0,|15|,|18|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.80474579,0,0
0,|15|,|2|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.54861761,1,0
0,|15|,|19|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,1.45200207,0,0
0,|15|,|3|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.2922651,0,0
0,|15|,|20|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.15970301,0,0
0,|15|,|4|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.36711682,0,0
0,|15|,|10|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,1.44713451,0,0
0,|15|,|5|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.92566544,0,0
0,|15|,|6|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.53395508,1,0
0,|15|,|12|,1.003988,,0.0,,48,1003988,3,1301539,3,0,0,0.03028437,0,0
1,|4|,|20|,1.081373,email,1,3,49,1081373,4,1378924,4,0,0,0.20741381,0,0
0,|4|,|18|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.43762897,0,0
0,|4|,|2|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.18150078,1,0
0,|4|,|19|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,1.08488525,0,0
0,|4|,|3|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.07485172,0,0
0,|4|,|10|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,1.08001769,0,0
0,|4|,|5|,1.081373,,0.0,,49,1081373,4,1378924,4,0,0,0.55854862,0,0
