"mr_level","statistic","estimate","se","effect"
"mr02","s.r.sub.rep.1",0.292865581291232,0.0377061597258305,"inertia"
"mr02","reciprocation",0.431384631517869,0.0378688413300933,"reciprocity"
"mr02","otp",0.0151435605403911,0.0114750141524796,"otp"
"mr02","absdiff.active",0.0219238145322657,0.0475030204998752,"difference_active"
"mr02","catdiff.group",-0.370932702776635,0.0586928059247801,"same_group"
"mr08","s.r.sub.rep.1",0.300454794259332,0.0391005275349915,"inertia"
"mr08","reciprocation",0.435632243702794,0.0394078197150583,"reciprocity"
"mr08","otp",0.0116273948113066,0.0112881973593952,"otp"
"mr08","absdiff.active",0.0353082710601767,0.0482958668131426,"difference_active"
"mr08","catdiff.group",-0.36935675349739,0.0592175114632015,"same_group"
"mr16","s.r.sub.rep.1",0.34776138650837,0.038972404258485,"inertia"
"mr16","reciprocation",0.412932785817801,0.0387644979390133,"reciprocity"
"mr16","otp",0.00924883233944532,0.011024013636412,"otp"
"mr16","absdiff.active",0.0271177411234227,0.0493327912101304,"difference_active"
"mr16","catdiff.group",-0.372212170786993,0.0601258218915457,"same_group"
"mr24","s.r.sub.rep.1",0.334344633556469,0.0405098470725305,"inertia"
"mr24","reciprocation",0.446238840133517,0.0406403566248684,"reciprocity"
"mr24","otp",0.00638214751359673,0.0110770136702561,"otp"
"mr24","absdiff.active",0.0480660656918161,0.0506258926166847,"difference_active"
"mr24","catdiff.group",-0.397354608950366,0.0613922831915598,"same_group"
