"statistic","mr_level_pct","mean_estimate","sd_estimate","n_replicates","true_value","bias"
"baseline",0,-4.89593253069307,0,5,-5,0.10406746930693
"difference_active",0,0.0791915474512444,0,5,0.15,-0.0708084525487556
"inertia",0,0.0232740902502863,0,5,0.02,0.0032740902502863
"otp",0,0.0293629549766802,0,5,0.03,-0.0006370450233198
"reciprocity",0,0.0970222742767229,0,5,0.1,-0.00297772572327711
"same_group",0,0.373242695306665,0,5,0.4,-0.026757304693335
"baseline",2,-4.87336128410714,3.45658416214969e-05,5,-5,0.126638715892856
"difference_active",2,0.0817850186838158,1.04930587925445e-06,5,0.15,-0.0682149813161842
"inertia",2,0.0254866423039418,3.03405608476887e-06,5,0.02,0.00548664230394182
"otp",2,0.0285695134838677,1.66109334966535e-06,5,0.03,-0.00143048651613226
"reciprocity",2,0.0947771767356061,1.20209372573867e-06,5,0.1,-0.00522282326439395
"same_group",2,0.362923023031644,1.25999784012144e-05,5,0.4,-0.0370769769683558
"baseline",8,-4.79603229893659,5.93356873648802e-05,5,-5,0.203967701063406
"difference_active",8,0.0751886226425782,2.66979463658607e-06,5,0.15,-0.0748113773574218
"inertia",8,0.0226579209359897,5.43588171849666e-06,5,0.02,0.00265792093598968
"otp",8,0.0263277800763724,2.63228190522789e-06,5,0.03,-0.00367221992362756
"reciprocity",8,0.0943302745808785,2.01835290461447e-06,5,0.1,-0.00566972541912153
"same_group",8,0.331646521881173,1.91168352968497e-05,5,0.4,-0.0683534781188272
"baseline",16,-4.70177796526979,8.09585117457809e-05,5,-5,0.298222034730208
"difference_active",16,0.0618464190294306,2.69436083913654e-06,5,0.15,-0.0881535809705694
"inertia",16,0.036468135447769,6.4972605611404e-06,5,0.02,0.016468135447769
"otp",16,0.0246106586247945,3.28786725762746e-06,5,0.03,-0.00538934137520552
"reciprocity",16,0.0771272180588529,2.09870126894116e-06,5,0.1,-0.0228727819411471
"same_group",16,0.297186474344536,2.39454430611916e-05,5,0.4,-0.102813525655464
"baseline",24,-4.63721233993577,0.000183685330235643,5,-5,0.362787660064225
"difference_active",24,0.0702137858843963,6.19016417487876e-06,5,0.15,-0.0797862141156037
"inertia",24,0.0298151365804989,1.53936731385491e-05,5,0.02,0.00981513658049886
"otp",24,0.023116183325835,6.75507244144341e-06,5,0.03,-0.00688381667416502
"reciprocity",24,0.0831758153280077,5.16174669925959e-06,5,0.1,-0.0168241846719923
"same_group",24,0.252131083543265,4.80257704317399e-05,5,0.4,-0.147868916456735
