"mr_level_pct","replicate","seed","eps_max","elapsed_sec"
0,1,20260522,3.96537501501371e-07,1.24795508384705
0,2,20260523,3.96537501501371e-07,1.4353928565979
0,3,20260524,3.96537501501371e-07,1.20413899421692
0,4,20260525,3.96537501501371e-07,1.31211590766907
0,5,20260526,3.96537501501371e-07,1.13891506195068
2,1,20262522,3.96537501501371e-07,1.21343898773193
2,2,20262523,3.96537501501371e-07,1.39784288406372
2,3,20262524,3.96537501501371e-07,1.49385190010071
2,4,20262525,3.96537501501371e-07,1.39293885231018
2,5,20262526,3.96537501501371e-07,1.36864900588989
8,1,20268522,3.96537501501371e-07,1.38858509063721
8,2,20268523,3.96537501501371e-07,1.4556360244751
8,3,20268524,3.96537501501371e-07,1.59681510925293
8,4,20268525,3.96537501501371e-07,1.9611439704895
8,5,20268526,3.96537501501371e-07,2.09309697151184
16,1,20276522,3.96537501501371e-07,2.26444506645203
16,2,20276523,3.96537501501371e-07,1.74283909797668
16,3,20276524,3.96537501501371e-07,1.42750692367554
16,4,20276525,3.96537501501371e-07,1.9660210609436
16,5,20276526,3.96537501501371e-07,2.08831906318665
24,1,20284522,3.96537501501371e-07,2.42466998100281
24,2,20284523,3.96537501501371e-07,2.62983083724976
24,3,20284524,3.96537501501371e-07,2.55474305152893
24,4,20284525,3.96537501501371e-07,2.47598600387573
24,5,20284526,3.96537501501371e-07,2.43001008033752
